Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,132,0,4200.0,4148.401192833426,1027.8088749982999,7309.658333993866,10851.765151515152,2.237777941276216,0.0,4300,5100,5600,5800,6300,6800,6900,7200,7300,7300,7300
GET,/cart,76,0,2300.0,2502.9118486973425,999.829291999049,5631.167166000523,8336.355263157895,1.2884176025529728,0.0,2300,2500,2700,3000,4600,5100,5600,5600,5600,5600,5600
POST,/cart,92,0,3200.0,3437.517831109527,1937.270291004097,7336.778166994918,16852.054347826088,1.5596634136167564,0.0,3200,3500,3700,3800,4400,5500,6400,7300,7300,7300,7300
POST,/cart/checkout,31,0,2000.0,2101.7017741922305,998.2246250001481,3234.7842089948244,6985.677419354839,0.5255387589360809,0.0,2000,2300,2800,2800,3000,3100,3200,3200,3200,3200,3200
GET,/product/0PUK6V6EV0,45,0,2300.0,2475.032645333946,1363.209499999357,5291.817875004199,8075.666666666667,0.7628788436168917,0.0,2300,2600,2600,2900,3800,4100,5300,5300,5300,5300,5300
GET,/product/1YMWWN1N4O,46,0,2100.0,2579.811296217604,810.7385830007843,5645.756208999956,8110.782608695652,0.7798317068083782,0.0,2100,2400,2700,3300,5000,5600,5600,5600,5600,5600,5600
GET,/product/2ZYFJ3GM2N,48,0,2400.0,2644.874092916931,1216.5191660023993,5047.748250006407,8115.0625,0.8137374331913512,0.0,2400,2700,3100,3300,4200,4500,5000,5000,5000,5000,5000
GET,/product/66VCHSJNUP,33,0,2300.0,2551.083311909513,1009.3427920000977,5916.520166996634,8060.909090909091,0.559444485319054,0.0,2300,2600,2700,3300,3600,5100,5900,5900,5900,5900,5900
GET,/product/6E92ZMYYFZ,46,0,2400.0,2698.6944174989376,1361.256707998109,5138.680624993867,8043.217391304348,0.7798317068083782,0.0,2400,2800,3300,3500,3900,4900,5100,5100,5100,5100,5100
GET,/product/9SIQT8TOJO,45,0,2200.0,2463.5561148432316,1394.2900839974754,5335.49908400164,8106.7555555555555,0.7628788436168917,0.0,2200,2400,2500,3000,4000,4400,5300,5300,5300,5300,5300
GET,/product/L9ECAV7KIM,36,0,2100.0,2623.684741833737,1274.484207999194,5569.4387089970405,8067.055555555556,0.6103030748935134,0.0,2100,2700,3500,3600,4200,4700,5600,5600,5600,5600,5600
GET,/product/LS4PSXUNUM,50,0,2400.0,2457.8448500004015,1102.0647500045015,4683.928375001415,8085.82,0.8476431595743241,0.0,2400,2800,2900,3100,3900,4300,4700,4700,4700,4700,4700
GET,/product/OLJCESPC7Z,48,0,2700.0,2958.2427716871584,1100.7499160041334,5959.434167001746,8067.333333333333,0.8137374331913512,0.0,2800,3100,3600,3700,5500,5800,6000,6000,6000,6000,6000
POST,/setCurrency,68,0,3200.0,3664.4831274410108,1706.7792089947034,7178.405708000355,10879.382352941177,1.152794697021081,0.0,3300,3900,4300,4400,5500,6500,7100,7200,7200,7200,7200
,Aggregated,796,0,2700.0,3020.009441108057,810.7385830007843,7336.778166994918,9775.756281407035,13.494479100423241,0.0,2700,3200,3600,4000,5100,5800,6500,6800,7300,7300,7300
